week,location,value
2020-08-08,US,0
2020-08-15,US,0
2020-08-22,US,0
2020-08-29,US,0
2020-09-05,US,0
2020-09-12,US,0
2020-09-19,US,0
2020-09-26,US,0
2020-10-03,US,0
2020-10-10,US,0
2020-10-17,US,4
2020-10-24,US,241
2020-10-31,US,470
2020-11-07,US,520
2020-11-14,US,648
2020-11-21,US,608
2020-11-28,US,684
2020-12-05,US,658
2020-12-12,US,640
2020-12-19,US,766
2020-12-26,US,750
2021-01-02,US,738
2021-01-09,US,596
2021-01-16,US,648
2021-01-23,US,715
2021-01-30,US,551
2021-02-06,US,506
2021-02-13,US,463
2021-02-20,US,480
2021-02-27,US,422
2021-03-06,US,436
2021-03-13,US,454
2021-03-20,US,376
2021-03-27,US,368
2021-04-03,US,383
2021-04-10,US,348
2021-04-17,US,370
2021-04-24,US,472
2021-05-01,US,452
2021-05-08,US,344
2021-05-15,US,274
2021-05-22,US,294
2021-05-29,US,247
2021-06-05,US,252
2021-06-12,US,231
2021-06-19,US,214
2021-06-26,US,204
2021-07-03,US,221
2021-07-10,US,243
2021-07-17,US,292
2021-07-24,US,263
2021-07-31,US,280
2021-08-07,US,349
2021-08-14,US,290
2021-08-21,US,280
2021-08-28,US,262
2021-09-04,US,281
2021-09-11,US,246
2021-09-18,US,261
2021-09-25,US,235
2021-10-02,US,253
2021-10-09,US,341
2021-10-16,US,266
2021-10-23,US,281
2021-10-30,US,263
2021-11-06,US,320
2021-11-13,US,338
2021-11-20,US,366
2021-11-27,US,477
2021-12-04,US,870
2021-12-11,US,1122
2021-12-18,US,1307
2021-12-25,US,1795
2022-01-01,US,2989
2022-01-08,US,2284
2022-01-15,US,1627
2022-01-22,US,1210
2022-01-29,US,966
2022-02-05,US,1089
2022-02-12,US,1161
2022-02-19,US,1497
2022-02-26,US,1607
2022-03-05,US,1792
2022-03-12,US,2090
2022-03-19,US,2612
2022-03-26,US,2908
2022-04-02,US,3007
2022-04-09,US,3138
2022-04-16,US,3295
2022-04-23,US,3456
2022-04-30,US,3185
2022-05-07,US,3175
2022-05-14,US,3115
2022-05-21,US,3125
2022-05-28,US,2733
2022-06-04,US,2677
2022-06-11,US,2207
2022-06-18,US,1776
2022-06-25,US,1368
2022-07-02,US,1076
2022-07-09,US,780
2022-07-16,US,767
2022-07-23,US,630
2022-07-30,US,521
2022-08-06,US,486
2022-08-13,US,489
2022-08-20,US,483
2022-08-27,US,483
2022-09-03,US,545
2022-09-10,US,577
2022-09-17,US,667
2022-09-24,US,795
2022-10-01,US,923
2022-10-08,US,1307
2022-10-15,US,1674
2022-10-22,US,2274
2022-10-29,US,4187
2022-11-05,US,6418
2022-11-12,US,8584
2022-11-19,US,10941
2022-11-26,US,18176
2022-12-03,US,26856
2022-12-10,US,24045
2022-12-17,US,21627
2022-12-24,US,19664
2022-12-31,US,19494
2023-01-07,US,14100
2023-01-14,US,7185
2023-01-21,US,4500
2023-01-28,US,3099
2023-02-04,US,2596
2023-02-11,US,2185
2023-02-18,US,1908
2023-02-25,US,1649
2023-03-04,US,1505
2023-03-11,US,1371
2023-03-18,US,1411
2023-03-25,US,1335
2023-04-01,US,1290
2023-04-08,US,1198
2023-04-15,US,1078
2023-04-22,US,980
2023-04-29,US,903
2023-05-06,US,991
2023-05-13,US,980
2023-05-20,US,1120
2023-05-27,US,973
2023-06-03,US,942
2023-06-10,US,935
2023-06-17,US,876
2023-06-24,US,816
2023-07-01,US,839
2023-07-08,US,699
2023-07-15,US,737
2023-07-22,US,648
2023-07-29,US,767
2023-08-05,US,687
2023-08-12,US,704
2023-08-19,US,739
2023-08-26,US,795
2023-09-02,US,880
2023-09-09,US,804
2023-09-16,US,818
2023-09-23,US,879
2023-09-30,US,1025
2023-10-07,US,1111
2023-10-14,US,1219
2023-10-21,US,1468
2023-10-28,US,1617
2023-11-04,US,2022
2023-11-11,US,2786
2023-11-18,US,3500
2023-11-25,US,4390
2023-12-02,US,5965
2023-12-09,US,7494
2023-12-16,US,10302
2023-12-23,US,15761
2023-12-30,US,21742
2024-01-06,US,19568
2024-01-13,US,15943
2024-01-20,US,13328
2024-01-27,US,13005
2024-02-03,US,11978
