reference_date,horizon,target_end_date,observed,WIS,AE,coverage_95
2025-09-27,1,2025-10-04,976,332.2,174,1
2025-09-27,2,2025-10-11,1016,577,202,1
2025-09-27,3,2025-10-18,1119,754,99,1
2025-10-04,1,2025-10-11,1016,312.5,108,1
2025-10-04,2,2025-10-18,1119,532.3,269,1
2025-10-04,3,2025-10-25,1199,705.1,349,1
2025-10-11,1,2025-10-18,1119,319.9,76,1
2025-10-11,2,2025-10-25,1199,554.5,120,1
2025-10-11,3,2025-11-01,1358,737.6,279,1
2025-10-18,1,2025-10-25,1199,326.8,16,1
2025-10-18,2,2025-11-01,1358,573.8,118,1
2025-10-18,3,2025-11-08,1787,774,547,1
2025-10-25,1,2025-11-01,1358,331.8,146,1
2025-10-25,2,2025-11-08,1787,601.9,580,1
2025-10-25,3,2025-11-15,2487,859.1,1280,1
2025-11-01,1,2025-11-08,1787,359.3,320,1
2025-11-01,2,2025-11-15,2487,693.7,971,1
2025-11-01,3,2025-11-22,3584,1084.1,2068,1
2025-11-08,1,2025-11-15,2487,382.7,400,1
2025-11-08,2,2025-11-22,3584,843.9,1390,1
2025-11-08,3,2025-11-29,5220,1489.4,3026,1
2025-11-15,1,2025-11-22,3584,448.8,676,1
2025-11-15,2,2025-11-29,5220,1155.8,2178,1
2025-11-15,3,2025-12-06,7449,2215.2,4407,1
2025-11-22,1,2025-11-29,5220,548.3,971,1
2025-11-22,2,2025-12-06,7449,1562.8,2974,1
2025-11-22,3,2025-12-13,11156,3739.1,6681,1
2025-11-29,1,2025-12-06,7449,663.1,1239,1
2025-11-29,2,2025-12-13,11156,2621.3,4620,1
2025-11-29,3,2025-12-20,21083,10856.1,14547,0
2025-12-06,1,2025-12-13,11156,1391.2,2405,1
2025-12-06,2,2025-12-20,21083,9365.7,11915,0
2025-12-06,3,2025-12-27,37602,24757.8,28434,0
2025-12-13,1,2025-12-20,21083,6361.9,7609,0
2025-12-13,2,2025-12-27,37602,20753.6,23311,0
2025-12-13,3,2026-01-03,42634,24655.3,28343,0
2025-12-20,1,2025-12-27,37602,8278.1,9569,0
2025-12-20,2,2026-01-03,42634,9241.1,11905,0
2025-12-20,3,2026-01-10,29933,1146.1,796,1
2025-12-27,1,2026-01-03,42634,5649,6960,0
2025-12-27,2,2026-01-10,29933,23364.3,26148,0
2025-12-27,3,2026-01-17,19754,36917.7,41058,0
2026-01-03,1,2026-01-10,29933,10129.1,11505,0
2026-01-03,2,2026-01-17,19754,16916.2,19783,0
2026-01-03,3,2026-01-24,16819,18570.5,22718,0
2026-01-10,1,2026-01-17,19754,1315.8,2372,1
2026-01-10,2,2026-01-24,16819,1150,1781,1
2026-01-10,3,2026-01-31,15751,1681.6,2643,1
2026-01-17,1,2026-01-24,16819,1658,2844,1
2026-01-17,2,2026-01-31,15751,4924.2,7829,1
2026-01-17,3,2026-02-07,16121,3958.8,7160,1
2026-01-24,1,2026-01-31,15751,1354.4,2432,1
2026-01-24,2,2026-02-07,16121,1005.7,1223,1
2026-01-24,3,2026-02-14,16436,1271.5,355,1
2026-01-31,1,2026-02-07,16121,1998.3,3290,1
2026-01-31,2,2026-02-14,16436,2993.9,5344,1
2026-01-31,3,2026-02-21,14731,1601.1,2428,1
2026-02-07,1,2026-02-14,16436,523.7,795,1
2026-02-07,2,2026-02-21,14731,2360.4,4383,1
2026-02-07,3,2026-02-28,11159,4432.7,7847,1
2026-02-14,1,2026-02-21,14731,1711.1,2918,1
2026-02-14,2,2026-02-28,11159,3655.3,6236,1
2026-02-14,3,2026-03-07,9598,3901.7,7071,1
2026-02-21,1,2026-02-28,11159,525.4,800,1
2026-02-21,2,2026-03-07,9598,971.1,1056,1
2026-02-21,3,2026-03-14,7793,1995.7,3589,1
2026-02-28,1,2026-03-07,9598,442.8,420,1
2026-02-28,2,2026-03-14,7793,1196.7,1950,1
2026-02-28,3,2026-03-21,6088,2131.4,3946,1
2026-03-07,1,2026-03-14,7793,1575.1,2733,1
2026-03-07,2,2026-03-21,6088,2644,4816,1
2026-03-07,3,2026-03-28,3306,3961.3,7169,1
2026-03-14,1,2026-03-21,6088,428.9,314,1
2026-03-14,2,2026-03-28,3306,1024.1,1420,1
2026-03-14,3,2026-04-04,2901,1452.8,2166,1
2026-03-21,1,2026-03-28,3306,1076.5,2006,1
2026-03-21,2,2026-04-04,2901,1513.5,2828,1
2026-03-21,3,2026-04-11,2235,1991.7,3705,1
2026-03-28,1,2026-04-04,2901,546.3,923,1
2026-03-28,2,2026-04-11,2235,726.3,518,1
2026-03-28,3,2026-04-18,1941,924.4,287,1
2026-04-04,1,2026-04-11,2235,668.7,1219,1
2026-04-04,2,2026-04-18,1941,1065.4,1693,1
2026-04-04,3,2026-04-25,1877,1298,1787,1
2026-04-11,1,2026-04-18,1941,434,587,1
2026-04-11,2,2026-04-25,1877,685.7,814,1
2026-04-11,3,2026-05-02,1649,850.8,543,1
2026-04-18,1,2026-04-25,1877,411.5,290,1
2026-04-18,2,2026-05-02,1649,803.6,711,1
2026-04-18,3,2026-05-09,1473,1051.8,921,1
2026-04-25,1,2026-05-02,1649,393.5,167,1
2026-04-25,2,2026-05-09,1473,717.4,296,1
2026-04-25,3,2026-05-16,1306,930.2,399,1
2026-05-02,1,2026-05-09,1473,373.4,20,1
2026-05-02,2,2026-05-16,1306,657.7,34,1
2026-05-02,3,2026-05-23,1250,879.5,160,1
2026-05-09,1,2026-05-16,1306,371.8,72,1
2026-05-09,2,2026-05-23,1250,678.2,202,1
2026-05-09,3,2026-05-30,1060,897.2,401,1
2026-05-16,1,2026-05-23,1250,368,66,1
2026-05-16,2,2026-05-30,1060,660.7,244,1
2026-05-16,3,2026-06-06,1011,860.9,267,1
