reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.01,394
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.025,772
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.05,872
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.1,950
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.15,1042
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.2,1056
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.25,1072
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.3,1089
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.35,1091
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.4,1109
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.45,1124
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.5,1173
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.55,1184
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.6,1186
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.65,1190
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.7,1209
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.75,1223
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.8,1290
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.85,1314
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.9,1353
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.95,1366
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.975,1973
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.99,7472
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.01,329
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.025,713
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.05,887
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.1,997
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.15,1153
