reference_date,horizon,target_end_date,observed,WIS,AE,coverage_95
2025-09-27,1,2025-10-04,976,494.5,70,1
2025-09-27,2,2025-10-11,1016,804.6,19,1
2025-09-27,3,2025-10-18,1119,1083.7,216,1
2025-10-04,1,2025-10-11,1016,473.9,134,1
2025-10-04,2,2025-10-18,1119,776.3,358,1
2025-10-04,3,2025-10-25,1199,1037,573,1
2025-10-11,1,2025-10-18,1119,483.4,137,1
2025-10-11,2,2025-10-25,1199,790.4,301,1
2025-10-11,3,2025-11-01,1358,1061.2,574,1
2025-10-18,1,2025-10-25,1199,495.5,75,1
2025-10-18,2,2025-11-01,1358,811.3,295,1
2025-10-18,3,2025-11-08,1787,1099.9,830,1
2025-10-25,1,2025-11-01,1358,502.5,172,1
2025-10-25,2,2025-11-08,1787,830.4,678,1
2025-10-25,3,2025-11-15,2487,1170,1495,1
2025-11-01,1,2025-11-08,1787,531.5,394,1
2025-11-01,2,2025-11-15,2487,921.9,1144,1
2025-11-01,3,2025-11-22,3584,1341.5,2349,1
2025-11-08,1,2025-11-15,2487,584.2,495,1
2025-11-08,2,2025-11-22,3584,1071.8,1547,1
2025-11-08,3,2025-11-29,5220,1664.2,3251,1
2025-11-15,1,2025-11-22,3584,644.7,731,1
2025-11-15,2,2025-11-29,5220,1319.1,2242,1
2025-11-15,3,2025-12-06,7449,2198.7,4517,1
2025-11-22,1,2025-11-29,5220,725.3,1035,1
2025-11-22,2,2025-12-06,7449,1652.2,3026,1
2025-11-22,3,2025-12-13,11156,3340.3,6752,1
2025-11-29,1,2025-12-06,7449,809.6,1313,1
2025-11-29,2,2025-12-13,11156,2424.4,4633,1
2025-11-29,3,2025-12-20,21083,9164.7,14818,1
2025-12-06,1,2025-12-13,11156,1302.2,2456,1
2025-12-06,2,2025-12-20,21083,8122.8,12119,0
2025-12-06,3,2025-12-27,37602,23130.6,29047,0
2025-12-13,1,2025-12-20,21083,5954.1,8031,0
2025-12-13,2,2025-12-27,37602,19933.4,23959,0
2025-12-13,3,2026-01-03,42634,23782.8,29671,0
2025-12-20,1,2025-12-27,37602,7830.6,9987,0
2025-12-20,2,2026-01-03,42634,7548,11635,0
2025-12-20,3,2026-01-10,29933,1795.6,861,1
2025-12-27,1,2026-01-03,42634,4525.5,6771,0
2025-12-27,2,2026-01-10,29933,19269.8,24161,0
2025-12-27,3,2026-01-17,19754,26927,34281,0
2026-01-03,1,2026-01-10,29933,8387.9,10715,0
2026-01-03,2,2026-01-17,19754,11985.9,16827,0
2026-01-03,3,2026-01-24,16819,9932.7,16288,1
2026-01-10,1,2026-01-17,19754,2183.3,3953,1
2026-01-10,2,2026-01-24,16819,3475.7,6570,1
2026-01-10,3,2026-01-31,15751,3275.2,6015,1
2026-01-17,1,2026-01-24,16819,765.9,804,1
2026-01-17,2,2026-01-31,15751,1754.6,2248,1
