reference_date,horizon,target_end_date,observed,WIS,AE,coverage_95
2025-09-27,1,2025-10-04,976,110.4,197,1
2025-09-27,2,2025-10-11,1016,234.9,375,1
2025-09-27,3,2025-10-18,1119,371.6,647,1
2025-10-04,1,2025-10-11,1016,65.8,104,1
2025-10-04,2,2025-10-18,1119,151.3,234,1
2025-10-04,3,2025-10-25,1199,422.9,829,1
2025-10-11,1,2025-10-18,1119,55.9,52,1
2025-10-11,2,2025-10-25,1199,202.6,382,1
2025-10-11,3,2025-11-01,1358,459,867,1
2025-10-18,1,2025-10-25,1199,54.2,72,1
2025-10-18,2,2025-11-01,1358,213.3,329,1
2025-10-18,3,2025-11-08,1787,356.8,631,1
2025-10-25,1,2025-11-01,1358,73.6,145,1
2025-10-25,2,2025-11-08,1787,109.8,103,1
2025-10-25,3,2025-11-15,2487,164.7,37,1
2025-11-01,1,2025-11-08,1787,95,156,1
2025-11-01,2,2025-11-15,2487,266.2,511,1
2025-11-01,3,2025-11-22,3584,570.2,878,1
2025-11-08,1,2025-11-15,2487,124.1,201,1
2025-11-08,2,2025-11-22,3584,382.9,596,1
2025-11-08,3,2025-11-29,5220,972.3,1390,1
2025-11-15,1,2025-11-22,3584,455.9,818,1
2025-11-15,2,2025-11-29,5220,928.7,1375,1
2025-11-15,3,2025-12-06,7449,1734.7,2415,1
2025-11-22,1,2025-11-29,5220,555,730,1
2025-11-22,2,2025-12-06,7449,1127.3,1382,0
2025-11-22,3,2025-12-13,11156,1806.5,2636,1
2025-11-29,1,2025-12-06,7449,646.5,924,0
2025-11-29,2,2025-12-13,11156,1822.2,2081,0
2025-11-29,3,2025-12-20,21083,6069.8,6876,0
2025-12-06,1,2025-12-13,11156,1509.7,1571,0
2025-12-06,2,2025-12-20,21083,5616.4,6316,0
2025-12-06,3,2025-12-27,37602,12558.1,17185,0
2025-12-13,1,2025-12-20,21083,4054.7,4958,0
2025-12-13,2,2025-12-27,37602,11324.4,14492,0
2025-12-13,3,2026-01-03,42634,15497,20257,0
2025-12-20,1,2025-12-27,37602,10776.1,11498,0
2025-12-20,2,2026-01-03,42634,16709.1,20673,0
2025-12-20,3,2026-01-10,29933,7115.7,11232,1
2025-12-27,1,2026-01-03,42634,8786,10970,0
2025-12-27,2,2026-01-10,29933,1955.2,315,1
2025-12-27,3,2026-01-17,19754,5773.2,11608,1
2026-01-03,1,2026-01-10,29933,6279.4,14151,1
2026-01-03,2,2026-01-17,19754,9554.5,21421,1
2026-01-03,3,2026-01-24,16819,10302.8,22849,1
2026-01-10,1,2026-01-17,19754,7691.1,14261,1
2026-01-10,2,2026-01-24,16819,8669.8,15715,1
2026-01-10,3,2026-01-31,15751,9472.9,19885,1
2026-01-17,1,2026-01-24,16819,3795.9,7565,1
2026-01-17,2,2026-01-31,15751,3133.6,6336,1
2026-01-17,3,2026-02-07,16121,2498.4,4736,1
2026-01-24,1,2026-01-31,15751,697.7,969,1
2026-01-24,2,2026-02-07,16121,1552.3,722,1
