as_of,target,target_end_date,location,location_name,observation,weekly_rate
11/12/2025,wk inc flu hosp,2/5/2022,US,US,1091,0.32077764
11/12/2025,wk inc flu hosp,2/12/2022,US,US,1158,0.340477092
11/12/2025,wk inc flu hosp,2/19/2022,US,US,1490,0.438092285
11/12/2025,wk inc flu hosp,2/26/2022,US,US,1603,0.471316734
11/12/2025,wk inc flu hosp,3/5/2022,US,US,1791,0.526592807
11/12/2025,wk inc flu hosp,3/12/2022,US,US,2086,0.613329199
11/12/2025,wk inc flu hosp,3/19/2022,US,US,2610,0.767396554
11/12/2025,wk inc flu hosp,3/26/2022,US,US,2912,0.856191097
11/12/2025,wk inc flu hosp,4/2/2022,US,US,3000,0.882065004
11/12/2025,wk inc flu hosp,4/9/2022,US,US,3130,0.920287821
11/12/2025,wk inc flu hosp,4/16/2022,US,US,3292,0.967919331
11/12/2025,wk inc flu hosp,4/23/2022,US,US,3450,1.014374755
11/12/2025,wk inc flu hosp,4/30/2022,US,US,3175,0.933518796
11/12/2025,wk inc flu hosp,5/7/2022,US,US,3162,0.929696514
11/12/2025,wk inc flu hosp,5/14/2022,US,US,3112,0.914995431
11/12/2025,wk inc flu hosp,5/21/2022,US,US,3118,0.916759561
11/12/2025,wk inc flu hosp,5/28/2022,US,US,2729,0.802385132
11/12/2025,wk inc flu hosp,6/4/2022,US,US,2676,0.786801984
11/12/2025,wk inc flu hosp,6/11/2022,US,US,2201,0.647141691
11/12/2025,wk inc flu hosp,6/18/2022,US,US,1775,0.521888461
11/12/2025,wk inc flu hosp,6/25/2022,US,US,1365,0.401339577
11/12/2025,wk inc flu hosp,7/2/2022,US,US,1073,0.31548525
11/12/2025,wk inc flu hosp,7/9/2022,US,US,776,0.228160814
11/12/2025,wk inc flu hosp,7/16/2022,US,US,766,0.225220598
11/12/2025,wk inc flu hosp,7/23/2022,US,US,627,0.184351586
11/12/2025,wk inc flu hosp,7/30/2022,US,US,522,0.153479311
11/12/2025,wk inc flu hosp,8/6/2022,US,US,486,0.142894531
11/12/2025,wk inc flu hosp,8/13/2022,US,US,490,0.144070617
11/12/2025,wk inc flu hosp,8/20/2022,US,US,483,0.142012466
11/12/2025,wk inc flu hosp,8/27/2022,US,US,482,0.141718444
11/12/2025,wk inc flu hosp,9/3/2022,US,US,545,0.160241809
11/12/2025,wk inc flu hosp,9/10/2022,US,US,576,0.169356481
11/12/2025,wk inc flu hosp,9/17/2022,US,US,665,0.195524409
11/12/2025,wk inc flu hosp,9/24/2022,US,US,796,0.234041248
11/12/2025,wk inc flu hosp,10/1/2022,US,US,921,0.270793956
11/12/2025,wk inc flu hosp,10/8/2022,US,US,1306,0.383992298
11/12/2025,wk inc flu hosp,10/15/2022,US,US,1670,0.491016186
11/12/2025,wk inc flu hosp,10/22/2022,US,US,2271,0.667723208
11/12/2025,wk inc flu hosp,10/29/2022,US,US,4180,1.229010572
11/12/2025,wk inc flu hosp,11/5/2022,US,US,6400,1.881738675
11/12/2025,wk inc flu hosp,11/12/2022,US,US,8579,2.52241189
11/12/2025,wk inc flu hosp,11/19/2022,US,US,10935,3.21512694
11/12/2025,wk inc flu hosp,11/26/2022,US,US,18145,5.335023166
11/12/2025,wk inc flu hosp,12/3/2022,US,US,26812,7.883308963
11/12/2025,wk inc flu hosp,12/10/2022,US,US,24001,7.056814054
11/12/2025,wk inc flu hosp,12/17/2022,US,US,21568,6.341459336
11/12/2025,wk inc flu hosp,12/24/2022,US,US,19606,5.764588823
11/12/2025,wk inc flu hosp,12/31/2022,US,US,19455,5.720191551
11/12/2025,wk inc flu hosp,1/7/2023,US,US,14059,4.133650631
11/12/2025,wk inc flu hosp,1/14/2023,US,US,7178,2.110487533
11/12/2025,wk inc flu hosp,1/21/2023,US,US,4487,1.319275224
11/12/2025,wk inc flu hosp,1/28/2023,US,US,3091,0.908820976
11/12/2025,wk inc flu hosp,2/4/2023,US,US,2594,0.762692207
11/12/2025,wk inc flu hosp,2/11/2023,US,US,2175,0.639497128
11/12/2025,wk inc flu hosp,2/18/2023,US,US,1906,0.560405299
11/12/2025,wk inc flu hosp,2/25/2023,US,US,1647,0.484253687
11/12/2025,wk inc flu hosp,3/4/2023,US,US,1501,0.441326524
11/12/2025,wk inc flu hosp,3/11/2023,US,US,1371,0.403103707
11/12/2025,wk inc flu hosp,3/18/2023,US,US,1411,0.414864574
11/12/2025,wk inc flu hosp,3/25/2023,US,US,1329,0.390754797
11/12/2025,wk inc flu hosp,4/1/2023,US,US,1294,0.380464038
11/12/2025,wk inc flu hosp,4/8/2023,US,US,1198,0.352237958
11/12/2025,wk inc flu hosp,4/15/2023,US,US,1077,0.316661336
11/12/2025,wk inc flu hosp,4/22/2023,US,US,980,0.288141235
11/12/2025,wk inc flu hosp,4/29/2023,US,US,903,0.265501566
11/12/2025,wk inc flu hosp,5/6/2023,US,US,992,0.291669495
11/12/2025,wk inc flu hosp,5/13/2023,US,US,978,0.287553191
11/12/2025,wk inc flu hosp,5/20/2023,US,US,1116,0.328128181
11/12/2025,wk inc flu hosp,5/27/2023,US,US,973,0.286083083
11/12/2025,wk inc flu hosp,6/3/2023,US,US,939,0.276086346
11/12/2025,wk inc flu hosp,6/10/2023,US,US,935,0.27491026
11/12/2025,wk inc flu hosp,6/17/2023,US,US,873,0.256680916
11/12/2025,wk inc flu hosp,6/24/2023,US,US,813,0.239039616
11/12/2025,wk inc flu hosp,7/1/2023,US,US,836,0.245802114
11/12/2025,wk inc flu hosp,7/8/2023,US,US,699,0.205521146
11/12/2025,wk inc flu hosp,7/15/2023,US,US,736,0.216399948
11/12/2025,wk inc flu hosp,7/22/2023,US,US,645,0.189643976
11/12/2025,wk inc flu hosp,7/29/2023,US,US,768,0.225808641
11/12/2025,wk inc flu hosp,8/5/2023,US,US,687,0.201992886
11/12/2025,wk inc flu hosp,8/12/2023,US,US,703,0.206697233
11/12/2025,wk inc flu hosp,8/19/2023,US,US,738,0.216987991
11/12/2025,wk inc flu hosp,8/26/2023,US,US,792,0.232865161
11/12/2025,wk inc flu hosp,9/2/2023,US,US,875,0.25726896
11/12/2025,wk inc flu hosp,9/9/2023,US,US,803,0.236099399
11/12/2025,wk inc flu hosp,9/16/2023,US,US,821,0.241391789
11/12/2025,wk inc flu hosp,9/23/2023,US,US,880,0.258739068
11/12/2025,wk inc flu hosp,9/30/2023,US,US,1025,0.30137221
11/12/2025,wk inc flu hosp,10/7/2023,US,US,1108,0.325776008
11/12/2025,wk inc flu hosp,10/14/2023,US,US,1214,0.356942305
11/12/2025,wk inc flu hosp,10/21/2023,US,US,1465,0.430741744
11/12/2025,wk inc flu hosp,10/28/2023,US,US,1613,0.47425695
11/12/2025,wk inc flu hosp,11/4/2023,US,US,2011,0.591277574
11/12/2025,wk inc flu hosp,11/11/2023,US,US,2775,0.815910129
11/12/2025,wk inc flu hosp,11/18/2023,US,US,3491,1.026429643
11/12/2025,wk inc flu hosp,11/25/2023,US,US,4384,1.288990993
11/12/2025,wk inc flu hosp,12/2/2023,US,US,5947,1.74854686
11/12/2025,wk inc flu hosp,12/9/2023,US,US,7487,2.201340228
11/12/2025,wk inc flu hosp,12/16/2023,US,US,10268,3.019014487
11/12/2025,wk inc flu hosp,12/23/2023,US,US,15711,4.619374426
11/12/2025,wk inc flu hosp,12/30/2023,US,US,21670,6.371449546
11/12/2025,wk inc flu hosp,1/6/2024,US,US,19508,5.7357747
11/12/2025,wk inc flu hosp,1/13/2024,US,US,15889,4.671710283
11/12/2025,wk inc flu hosp,1/20/2024,US,US,13291,3.90784199
11/12/2025,wk inc flu hosp,1/27/2024,US,US,12986,3.818165381
11/12/2025,wk inc flu hosp,2/3/2024,US,US,11957,3.515617084
11/12/2025,wk inc flu hosp,2/10/2024,US,US,11626,3.418295912
11/12/2025,wk inc flu hosp,2/17/2024,US,US,11115,3.26805084
11/12/2025,wk inc flu hosp,2/24/2024,US,US,10856,3.191899228
11/12/2025,wk inc flu hosp,3/2/2024,US,US,10803,3.17631608
11/12/2025,wk inc flu hosp,3/9/2024,US,US,9412,2.767331939
11/12/2025,wk inc flu hosp,3/16/2024,US,US,7321,2.152532631
11/12/2025,wk inc flu hosp,3/23/2024,US,US,6047,1.777949026
11/12/2025,wk inc flu hosp,3/30/2024,US,US,5574,1.638876777
11/12/2025,wk inc flu hosp,4/6/2024,US,US,5068,1.490101813
11/12/2025,wk inc flu hosp,4/13/2024,US,US,4072,1.197256232
11/12/2025,wk inc flu hosp,4/20/2024,US,US,2942,0.865011747
11/12/2025,wk inc flu hosp,4/27/2024,US,US,2420,0.711532437
11/12/2025,wk inc flu hosp,5/4/2024,US,US,1485,0.436622177
11/12/2025,wk inc flu hosp,5/11/2024,US,US,852,0.250506461
11/12/2025,wk inc flu hosp,5/18/2024,US,US,681,0.200228756
11/12/2025,wk inc flu hosp,5/25/2024,US,US,610,0.179353217
11/12/2025,wk inc flu hosp,6/1/2024,US,US,590,0.173472784
11/12/2025,wk inc flu hosp,6/8/2024,US,US,511,0.150245072
11/12/2025,wk inc flu hosp,6/15/2024,US,US,517,0.152009202
11/12/2025,wk inc flu hosp,6/22/2024,US,US,441,0.129663556
11/12/2025,wk inc flu hosp,6/29/2024,US,US,356,0.104671714
11/12/2025,wk inc flu hosp,7/6/2024,US,US,341,0.100261389
11/12/2025,wk inc flu hosp,7/13/2024,US,US,367,0.107905952
11/12/2025,wk inc flu hosp,7/20/2024,US,US,324,0.09526302
11/12/2025,wk inc flu hosp,7/27/2024,US,US,273,0.080267915
11/12/2025,wk inc flu hosp,8/3/2024,US,US,275,0.080855959
11/12/2025,wk inc flu hosp,8/10/2024,US,US,275,0.080855959
11/12/2025,wk inc flu hosp,8/17/2024,US,US,273,0.080267915
11/12/2025,wk inc flu hosp,8/24/2024,US,US,274,0.080561937
11/12/2025,wk inc flu hosp,8/31/2024,US,US,259,0.076151612
11/12/2025,wk inc flu hosp,9/7/2024,US,US,223,0.065566832
11/12/2025,wk inc flu hosp,9/14/2024,US,US,319,0.093792912
11/12/2025,wk inc flu hosp,9/21/2024,US,US,293,0.086148349
11/12/2025,wk inc flu hosp,9/28/2024,US,US,223,0.065566832
11/12/2025,wk inc flu hosp,10/5/2024,US,US,286,0.084090197
11/12/2025,wk inc flu hosp,10/12/2024,US,US,295,0.086736392
11/12/2025,wk inc flu hosp,10/19/2024,US,US,554,0.162888004
11/12/2025,wk inc flu hosp,10/26/2024,US,US,1087,0.319601553
11/12/2025,wk inc flu hosp,11/2/2024,US,US,1001,0.29431569
11/12/2025,wk inc flu hosp,11/9/2024,US,US,2154,0.633322673
11/12/2025,wk inc flu hosp,11/16/2024,US,US,2599,0.764162315
11/12/2025,wk inc flu hosp,11/23/2024,US,US,3270,0.961450854
11/12/2025,wk inc flu hosp,11/30/2024,US,US,4423,1.300457838
11/12/2025,wk inc flu hosp,12/7/2024,US,US,6505,1.91261095
11/12/2025,wk inc flu hosp,12/14/2024,US,US,9574,2.81496345
11/12/2025,wk inc flu hosp,12/21/2024,US,US,16099,4.733454833
11/12/2025,wk inc flu hosp,12/28/2024,US,US,28615,8.41343003
11/12/2025,wk inc flu hosp,1/4/2025,US,US,39590,11.64031784
11/12/2025,wk inc flu hosp,1/11/2025,US,US,31785,9.345478718
11/12/2025,wk inc flu hosp,1/18/2025,US,US,33612,9.882656305
11/12/2025,wk inc flu hosp,1/25/2025,US,US,41334,12.15309163
11/12/2025,wk inc flu hosp,2/1/2025,US,US,52428,15.41496801
11/12/2025,wk inc flu hosp,2/8/2025,US,US,55421,16.29497486
11/12/2025,wk inc flu hosp,2/15/2025,US,US,47713,14.02865585
11/12/2025,wk inc flu hosp,2/22/2025,US,US,39216,11.53035373
11/12/2025,wk inc flu hosp,3/1/2025,US,US,31853,9.365472191
